stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,wheelchair_boarding,elevation,TBAR_DES_BARRIO_A,barrio_asignado
363,7303,CAMILO VILLABASO fte. 27,,43.25172134526666,-2.947595490972287,1,0,1,54.67763519287109,ERREKALDEBERRI,ERREKALDEBERRI
371,7304,CIUDADELA 1,,43.25257064130461,-2.9456056831320203,1,0,1,41.54746246337891,ERREKALDEBERRI,ERREKALDEBERRI
372,7305,CIUDADELA 2A,,43.25222401330998,-2.945063765991919,1,0,1,43.07241058349609,ERREKALDEBERRI,ERREKALDEBERRI
379,7306,ERREKALDE-LARRASKITU 1,,43.25180863993727,-2.944078745900471,1,0,1,43.77289962768555,ERREKALDEBERRI,ERREKALDEBERRI
376,7307,ERREKALDE-LARRASKITU 23,,43.25095103926121,-2.9422135069465325,1,0,1,56.08145141601562,ERREKALDEBERRI,ERREKALDEBERRI
368,7308,GORDÓNIZ fte. 54 ,,43.25227659522927,-2.9462359349425213,1,0,1,43.87998199462891,ERREKALDEBERRI,ERREKALDEBERRI
382,7310,GORDÓNIZ 36,,43.25438394023456,-2.9447710508288933,1,0,1,44.3604736328125,ERREKALDEBERRI,ERREKALDEBERRI
383,7311,GORDÓNIZ 49A,,43.25435075593951,-2.944646950235904,1,0,1,44.31689071655273,ERREKALDEBERRI,ERREKALDEBERRI
369,7312,GORDÓNIZ 54 ,,43.252495702118566,-2.946285321898213,1,0,1,43.07172012329102,ERREKALDEBERRI,ERREKALDEBERRI
367,7313,GORDÓNIZ 90,,43.24941308191104,-2.946982748687316,1,0,1,47.81147766113281,ITURRIGORRI-PEÑASCAL,ERREKALDEBERRI
370,7314,GOYA 7,,43.25288416413422,-2.946489125510516,1,0,1,43.51279830932617,ERREKALDEBERRI,ERREKALDEBERRI
1491,7316,JAÉN 7,,43.252822646662665,-2.943230804173304,1,0,1,39.42771530151367,LARRASKITU,ERREKALDEBERRI
571,7317,XALBADOR / fte. ALHÓNDIGA,,43.24894272241781,-2.94484723118894,1,0,1,58.90026092529297,ITURRIGORRI-PEÑASCAL,ERREKALDEBERRI
570,7318,XALBADOR / ALHÓNDIGA,,43.2489268046744,-2.9447654184080445,1,0,1,59.53969955444336,ITURRIGORRI-PEÑASCAL,ERREKALDEBERRI
572,7319,XALBADOR / FILOMENA BALDEZATE,,43.25017305741636,-2.944821174221944,1,0,1,67.3282241821289,ERREKALDEBERRI,ERREKALDEBERRI
364,7320,ARTAZUGOIKOA / ESCUELA,,43.24674056842366,-2.9416990733801938,1,0,1,116.467529296875,ERREKALDEBERRI,ERREKALDEBERRI
568,7322,HIJAS DE LA CARIDAD fte.118,,43.246192502215045,-2.9410224915217804,1,0,1,110.9830703735352,ERREKALDEBERRI,LARRASKITU
569,7323,HIJAS DE LA CARIDAD 126,,43.24653356254357,-2.9411015185779164,1,0,1,110.3811798095703,ERREKALDEBERRI,LARRASKITU
1485,7324,AVENIDA FERROCARRIL,,43.25402247271915,-2.9425286864730684,1,0,1,40.51935195922852,ERREKALDEBERRI,ERREKALDEBERRI
3167,7325,LA ROSETA,,43.24442548150506,-2.9436400580473605,1,0,1,135.8096618652344,DISEMINADO,ERREKALDEBERRI
3963,7328,MATILDE ORBEGOZO,,43.246132091283386,-2.9427468678872666,1,0,1,111.4324417114258,ERREKALDEBERRI,ERREKALDEBERRI
6917,7329,GORDONIZ 99,,43.249722444029366,-2.9468880211010293,1,0,1,47.13489151000977,URETAMENDI,ERREKALDEBERRI
577,7401,ARTAZUBEKOA,,43.24970523500373,-2.942020290259236,1,0,1,82.36463165283203,ERREKALDEBERRI,LARRASKITU
575,7402,ARTAZUBEKOA fte.10,,43.25059830205007,-2.9423614892808287,1,0,1,61.8663330078125,ERREKALDEBERRI,LARRASKITU
576,7403,ARTAZUBEKOA  27,,43.25006753102673,-2.941928642266378,1,0,1,72.36558532714844,ERREKALDEBERRI,LARRASKITU
374,7404,ERREKALDE-LARRASKITU fte. 36,,43.24895845946464,-2.939893510507213,1,0,1,69.93492889404297,ERREKALDEBERRI,LARRASKITU
340,7405,ERREKALDE-LARRASKITU / fte. IBERDROLA,,43.24494626034281,-2.933813127132249,1,0,1,123.6105270385742,LARRASKITU,LARRASKITU
337,7406,ERREKALDE-LARRASKITU / fte. POLIDEPORTIVO,,43.24565663074729,-2.937193698880459,1,0,1,92.5646743774414,LARRASKITU,LARRASKITU
339,7407,ERREKALDE-LARRASKITU / PAGASARRABIDE,,43.24533193199045,-2.934461105512659,1,0,1,120.3704071044922,LARRASKITU,LARRASKITU
338,7408,ERREKALDE-LARRASKITU / POLIDEPORTIVO,,43.245756237937535,-2.9372474746111608,1,0,1,91.87672424316406,LARRASKITU,LARRASKITU
377,7409,ERREKALDE-LARRASKITU 14,,43.25087535149783,-2.942225969215808,1,0,1,57.30589294433594,ERREKALDEBERRI,LARRASKITU
378,7410,ERREKALDE-LARRASKITU 2,,43.251482250701486,-2.9435106357477467,1,0,1,49.02531051635742,ERREKALDEBERRI,LARRASKITU
375,7411,ERREKALDE-LARRASKITU 36,,43.2489288607754,-2.939975371062884,1,0,1,70.88062286376953,ERREKALDEBERRI,LARRASKITU
341,7412,LARRASKITUBIDEA / ESTRADA BEITI,,43.24196718311629,-2.934455594427472,1,0,1,154.9980316162109,DISEMINADO,LARRASKITU
343,7413,LARRASKITUBIDEA  88,,43.242878516575104,-2.9367979174894607,1,0,1,174.9365997314453,DISEMINADO,LARRASKITU
345,7414,LARRASKITUBIDEA  98,,43.24230637874179,-2.9400937496904787,1,0,1,197.4052734375,DISEMINADO,LARRASKITU
258,7415,SAN ADRIÁN 48 ,,43.24286878574386,-2.9321449098471817,1,0,1,126.7435455322266,DISEMINADO,LARRASKITU
566,7416,HIJAS DE LA CARIDAD 48,,43.245187303787525,-2.938683897285084,1,0,1,105.3484649658203,LARRASKITU,LARRASKITU
567,7417,HIJAS DE LA CARIDAD fte. 46,,43.24519973836173,-2.938468812529893,1,0,1,104.9907531738281,LARRASKITU,LARRASKITU
1192,7418,LARRASKITUBIDEA fte. 81,,43.242939988132335,-2.938125240991877,1,0,1,184.9315948486328,DISEMINADO,DISEMINADO
362,7501,ALTUBE 12,,43.25189482029376,-2.9489337829947586,1,0,1,64.40543365478516,URETAMENDI,ERREKALDEBERRI
360,7502,BETOLATZA 41,,43.249104950073125,-2.95036003011623,1,0,1,112.5276489257812,URETAMENDI,URETAMENDI
356,7503,BETOLATZA 51,,43.2479883249795,-2.9507336293591666,1,0,1,115.3332595825195,DISEMINADO,URETAMENDI
361,7508,CIRCUNVALACIÓN 1,,43.25125926739448,-2.9489105668272404,1,0,1,83.62608337402344,URETAMENDI,URETAMENDI
358,7509,CIRCUNVALACIÓN 12,,43.24987627864274,-2.9495160472277084,1,0,1,84.37918090820312,URETAMENDI,URETAMENDI
357,7510,URETAMENDI ,,43.24870228947794,-2.949352376296292,1,0,1,87.21410369873047,DISEMINADO,URETAMENDI
697,7511,ARMOTXABIDEA,,43.24696898674836,-2.9506919618990586,1,0,1,98.34748840332033,DISEMINADO,DISEMINADO
354,7601,ITURRIGORRIBIDEA fte. 45,,43.245870901399535,-2.948717305242872,1,0,1,68.41683959960938,ITURRIGORRI-PEÑASCAL,ITURRIGORRI-PEÑASCAL
355,7602,ITURRIGORRIBIDEA 37,,43.2469256310569,-2.948329564008577,1,0,1,63.39691162109375,ITURRIGORRI-PEÑASCAL,ITURRIGORRI-PEÑASCAL
352,7603,PEÑASCAL / IGLESIA,,43.24321963017757,-2.9491377470872813,1,0,1,77.98246765136719,ITURRIGORRI-PEÑASCAL,DISEMINADO
350,7604,PEÑASCAL fte. 29 ,,43.240147974466346,-2.9497714436558886,1,0,1,92.33248901367188,ITURRIGORRI-PEÑASCAL,ITURRIGORRI-PEÑASCAL
353,7605,PEÑASCAL 16,,43.24344544510622,-2.9491107526401894,1,0,1,79.5248031616211,ITURRIGORRI-PEÑASCAL,ITURRIGORRI-PEÑASCAL
351,7606,PEÑASCAL 29,,43.24047334284268,-2.949709955899028,1,0,1,96.28186798095705,ITURRIGORRI-PEÑASCAL,DISEMINADO
349,7701,PEÑASCAL  fte.146,,43.23878800029984,-2.948531361951197,1,0,1,103.0447616577148,ITURRIGORRI-PEÑASCAL,ITURRIGORRI-PEÑASCAL
348,7702,SAN JUSTO,,43.240388771080525,-2.944548428488289,1,0,1,193.5960388183594,DISEMINADO,DISEMINADO
346,7703,SAN JUSTO fte. 5,,43.23988990226809,-2.942917133280723,1,0,1,194.2550964355469,DISEMINADO,DISEMINADO
347,7704,SAN JUSTO 12,,43.240027298762094,-2.9431278131357392,1,0,1,193.1187896728516,DISEMINADO,DISEMINADO
457,8103,BASURTUBEKOA / fte. IPARRALDE,,43.25886631616767,-2.952106744643188,1,0,1,48.40981292724609,MASUSTEGI-MONTE CARAMELO,BASURTU
458,8104,BASURTUBEKOA / IPARRALDE,,43.258501559891606,-2.9519784977838577,1,0,1,49.48928451538086,MASUSTEGI-MONTE CARAMELO,BASURTU
463,8105,BASURTU-KASTREXANA fte. 65 ,,43.26102232667496,-2.956643829301365,1,0,1,61.89588165283203,MASUSTEGI-MONTE CARAMELO,BASURTU
462,8106,BASURTU-KASTREXANA 63,,43.26073425703488,-2.9561094364686955,1,0,1,58.94256973266602,MASUSTEGI-MONTE CARAMELO,BASURTU
453,8107,GURTUBAY ,,43.25998889670322,-2.951290058882679,1,0,1,41.45454788208008,BASURTU,BASURTU
474,8113,MONTEVIDEO / SANTA ANA,,43.2625671658025,-2.95638127202506,1,0,1,40.88710021972656,BASURTU,BASURTU
405,8117,AVENIDA DEL FERROCARRIL / AUTONOMÍA,,43.25749503289041,-2.946126731292463,1,0,1,34.80241775512695,BASURTU,BASURTU
1122,8118,URKIOLA 1,,43.256205148043605,-2.9465243735705817,1,0,1,36.95285034179688,ERREKALDEBERRI,BASURTU
409,8122,BASURTU / BRIÑAS,,43.25802017405045,-2.9491049779821967,1,0,1,36.58478927612305,BASURTU,BASURTU
408,8123,BASURTU / AITA DONOSTIA,,43.25796484007097,-2.94910791923123,1,0,1,36.90380859375,BASURTU,BASURTU
1033,8128,LUIS BRIÑAS 27,,43.26082727081846,-2.9486918551244368,1,0,1,30.88656234741211,BASURTU,BASURTU
1284,8129,SABINO ARANA 32,,43.26045675344017,-2.9472190509270444,1,0,1,28.97827339172363,BASURTU,BASURTU
1681,8134,HOSPITAL BASURTO,,43.26012118907926,-2.953023881843454,1,0,1,45.49257278442383,MASUSTEGI-MONTE CARAMELO,BASURTU
2714,8135,ESTACIÓN BASURTO,,43.260110449132895,-2.9533725674684788,1,0,1,44.12371063232422,MASUSTEGI-MONTE CARAMELO,BASURTU
1680,8136,SAN MAMÉS,,43.2628350190681,-2.947747807102576,1,0,1,26.77825546264648,BASURTU,BASURTU
2713,8138,GENERAL EGUÍA / INTERMODAL,,43.2599632597169,-2.949412081438965,1,0,1,33.6987190246582,BASURTU,BASURTU
416,8203,CAMINO VENTOSA 46,,43.264721792316486,-2.9534342155167863,1,0,1,7.958174228668213,OLABEAGA,OLABEAGA
473,8204,MONTEVIDEO / fte. SANTA ANA,,43.26283663557977,-2.956452069517588,1,0,1,40.16023635864258,BASURTU,BASURTU
475,8205,MONTEVIDEO / OLABEAGA,,43.26499225411583,-2.961273322903898,1,0,1,32.57916641235352,ALTAMIRA,OLABEAGA
415,8206,OLABEAGA / fte. DIQUE,,43.26530338002348,-2.9524046519443328,1,0,1,2.774808406829834,BASURTU,OLABEAGA
414,8207,OLABEAGA / CALLE DIQUE,,43.2652847062675,-2.9522485651258514,1,0,1,3.718862056732178,BASURTU,OLABEAGA
417,8208,OLABEAGA 22A,,43.26492122741747,-2.9551382253747494,1,0,1,5.045583724975586,OLABEAGA,OLABEAGA
419,8209,OLABEAGA 30,,43.264807646890574,-2.957954448738843,1,0,1,7.069531440734863,BASURTU,OLABEAGA
420,8210,SAN NICOLÁS DE OLABEAGA fte. 27,,43.265065139869854,-2.9590133721550336,1,0,1,9.186616897583008,BASURTU,OLABEAGA
418,8211,SAN NICOLÁS DE OLABEAGA 22,,43.264476476741656,-2.95589514183126,1,0,1,12.60954570770264,BASURTU,OLABEAGA
423,8212,SAN NICOLÁS DE OLABEAGA 58,,43.26609491030014,-2.960711084657327,1,0,1,10.78022384643555,ALTAMIRA,OLABEAGA
421,8213,SIRGUERAS 3,,43.26577091830752,-2.9600696836721574,1,0,1,7.757748126983643,ALTAMIRA,OLABEAGA
6895,8214,URGOZO 2,,43.26579630679444,-2.9607732943592,1,0,1,12.99934577941895,ALTAMIRA,OLABEAGA
6896,8215,ESTACION OLABEAGA,,43.26434361814104,-2.956161971125984,1,0,1,15.08777713775635,BASURTU,OLABEAGA
