stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
260,ZZD,"Vía Vieja de Lezama",43.264828315419386,-2.9134497686574696,46,0
262,ZZD,Zumaia,43.26486008135926,-2.915004677764423,46,0
263,ZZD,Ascensor,43.264126487520706,-2.913105662760311,46,0
265,ZZE,"Gabriel Aresti",43.2579403922566,-2.9067357582337303,47,0
267,ZZE,Peatonal,43.259534211913255,-2.907738630352142,47,0
270,ZZE,Ascensor,43.25861114704998,-2.9062380052214936,47,0
276,ZZF,Langaran,43.25818960120815,-2.8980826688736525,48,0
278,ZZF,Lozoño,43.25867730225704,-2.8998330934839878,48,0
280,ZZF,Ascensor,43.25860342490373,-2.899237191613228,48,0
281,ZZF,"Kepa Enbeita",43.25942346819154,-2.899991241250805,48,0
283,ZZG,Estación,43.25112761711957,-2.889805502632,49,0
285,ZZG,"Barrio Euskal Herria",43.250069149515134,-2.8871035819507425,49,0
286,ZZG,Ascensor,43.25188713002354,-2.8869249328682125,49,0
